ITEM_CODE,MODEL,ITEM_NAME,SPEC,UNIT
PHOE-3004032,3004032,3004032 Phoenix Contact Knife-disconnect terminal UK 5-MTK-P/P,,PCS
PHOE-3004100,3004100,3004100 Phoenix Contact Fuse modular terminal UK 5-HESI,,PCS
PHOE-3004126,3004126,3004126 Phoenix Contact Fuse modular terminal UK 5-HESILED 24,,PCS
PHOE-3004142,3004142,3004142 Phoenix Contact Fuse modular terminal UK 5-HESILA 250,,PCS
PHOE-3004362,3004362,3004362 Phoenix Contact Feed-through terminal UK 5 N,,PCS
PHOE-3004388,3004388,3004388 Phoenix Contact Terminal UK 5 N BU,,PCS
PHOE-3004430,3004430,3004430 Phoenix Contact UK 5-MTK - Knife-disconnect terminal,,PCS
PHOE-3004524,3004524,3004524 Phoenix Contact Feed-through terminal UK 6 N,,PCS
PHOE-3005015,3005015,3005015 Phoenix Contact Terminal UK 10,,PCS
PHOE-3005073,3005073,3005073 Phoenix Contact Feed-through terminal UK 10 N,,PCS
PHOE-3005950,3005950,3005950 Phoenix Contact FBS 2-12,,PCS
PHOE-3006014,3006014,3006014 Phoenix Contact Terminal UK 16,,PCS
PHOE-3006027,3006027,3006027 Phoenix Contact End cover D-UK 16,,PCS
PHOE-3006043,3006043,3006043 Phoenix Contact Feed-through terminal UK 16 N,,PCS
PHOE-3006179,3006179,3006179 Phoenix Contact Installation ground terminal UK 16 N-PE/N,,PCS
PHOE-3007204,3007204,3007204 Phoenix Contact Fuse modular terminal UKK 5-HESI (5X20),,PCS
PHOE-3008012,3008012,3008012 Phoenix Contact UK 35 Feed-through terminal block,,PCS
PHOE-3009118,3009118,3009118 Phoenix Contact Terminal UKH 50,,PCS
PHOE-3010013,3010013,3010013 Phoenix Contact UKH95 High-current terminal block 95mm2,,PCS
PHOE-3022218,3022218,3022218 Phoenix Contact End clamp CLIPFIX 35,,PCS
PHOE-3022276,3022276,3022276 Phoenix Contact End clamp CLIPFIX 35-5,,PCS
PHOE-3024753,3024753,3024753 Phoenix Contact Installation ground terminal UK 6 N-PE/N,,PCS
PHOE-3030145,3030145,3030145 Phoenix Contact FBS 5-4 - Plug-in bridge,,PCS
PHOE-3030161,3030161,3030161 Phoenix Contact Plug-in bridge FBS 2-5,,PCS
PHOE-3030174,3030174,3030174 Phoenix Contact FBS 3-5 - Plug-in bridge,,PCS
PHOE-3030187,3030187,3030187 Phoenix Contact Plug-in bridge FBS 4-5,,PCS
PHOE-3030190,3030190,3030190 Phoenix Contact Plug-in bridge FBS 5-5,,PCS
